alfeireiro;https://iisg.amsterdam/resource/hisco/code/hisco/62430
alfeireiro das ovelhas;https://iisg.amsterdam/resource/hisco/code/hisco/62430
alferes;https://iisg.amsterdam/resource/hisco/code/hisco/58320
alganame;https://iisg.amsterdam/resource/hisco/code/hisco/62430
alganame;https://iisg.amsterdam/hisco/code/status/31
algarvio;https://iisg.amsterdam/resource/hisco/code/hisco/98190
algibe;https://iisg.amsterdam/resource/hisco/code/hisco/79125
algibebe;https://iisg.amsterdam/resource/hisco/code/hisco/79125
algibebe;https://iisg.amsterdam/resource/hisco/code/product/28
almocouvar;https://iisg.amsterdam/resource/hisco/code/hisco/62430
almocreve;https://iisg.amsterdam/resource/hisco/code/hisco/98620
alpargateiro;https://iisg.amsterdam/resource/hisco/code/hisco/80110
alquilador;https://iisg.amsterdam/resource/hisco/code/hisco/98620
alugador de carros;https://iisg.amsterdam/resource/hisco/code/hisco/98620
alugador de carruagens;https://iisg.amsterdam/resource/hisco/code/hisco/98690
alugador de cavalos;https://iisg.amsterdam/resource/hisco/code/hisco/98690
alugador de máquinas;https://iisg.amsterdam/resource/hisco/code/hisco/62820
alvanéu;https://iisg.amsterdam/resource/hisco/code/hisco/95120
alveitar;https://iisg.amsterdam/resource/hisco/code/hisco/06510
alçador;https://iisg.amsterdam/resource/hisco/code/hisco/92290
ama;https://iisg.amsterdam/resource/hisco/code/hisco/54035
amanuense da administração;https://iisg.amsterdam/resource/hisco/code/hisco/31090
amanuense da câmara;https://iisg.amsterdam/resource/hisco/code/hisco/31090
amassador;https://iisg.amsterdam/resource/hisco/code/hisco/89930
amolador de facas;https://iisg.amsterdam/resource/hisco/code/hisco/83540
andador;https://iisg.amsterdam/resource/hisco/code/hisco/14990
andaina;https://iisg.amsterdam/resource/hisco/code/hisco/64130
apalpador da fábrica do tabaco;https://iisg.amsterdam/resource/hisco/code/hisco/78290
apanhadeira;https://iisg.amsterdam/resource/hisco/code/hisco/75475
apanhadeira de malhas;https://iisg.amsterdam/resource/hisco/code/hisco/75465
apanhador de trigo;https://iisg.amsterdam/resource/hisco/code/hisco/62290
apanhador de trigo;https://iisg.amsterdam/resource/hisco/code/product/1
apartador da lã/ apartadeira;https://iisg.amsterdam/resource/hisco/code/hisco/75115
apontador;https://iisg.amsterdam/resource/hisco/code/hisco/39150
apontador (têxteis);https://iisg.amsterdam/resource/hisco/code/hisco/75990
apontador das obras;https://iisg.amsterdam/resource/hisco/code/hisco/39150
apontador do arsenal;https://iisg.amsterdam/resource/hisco/code/hisco/39150
apontador e comprador;https://iisg.amsterdam/resource/hisco/code/hisco/39150
aprendiz;https://iisg.amsterdam/hisco/code/status/23
aprendiz;https://iisg.amsterdam/resource/hisco/code/hisco/99998
aprendiz de carpinteiro;https://iisg.amsterdam/resource/hisco/code/hisco/81000
aprendiz de carpinteiro;https://iisg.amsterdam/hisco/code/status/23
aprendiz de ferreiro;https://iisg.amsterdam/resource/hisco/code/hisco/83110
aprendiz de ferreiro;https://iisg.amsterdam/hisco/code/status/23
